Artist,Track,Peak Position,Year,Peak Date
Chris Kenner,"I Like It Like That, Part 1",2,1961,7/31/61
The Mar-Keys,Last Night,3,1961,8/7/61
Curtis Lee,Pretty Little Angel Eyes,7,1961,8/7/61
Ann-Margret,I Just Don't Understand,17,1961,9/11/61
The Dreamlovers,When We Get Married,10,1961,9/18/61
The Jarmels,A Little Bit of Soap,12,1961,9/18/61
The Halos,Nag,25,1961,9/18/61
The Blue Jays,Lovers Island,31,1961,9/18/61
Barry Mann,"Who Put the Bomp (in the Bomp, Bomp, Bomp)",7,1961,9/25/61
Jose Jimenez (Bill Dana),The Astronaut (Part 1 and 2),19,1961,10/2/61
Bob Moore and His Orchestra,Mexico,7,1961,10/2/61
Dave Brubeck Quartet,Take Five,25,1961,10/9/61
Don Shirley,Water Boy,40,1961,10/9/61
Troy Shondell,This Time,6,1961,10/23/61
The Duals,Stick Shift,25,1961,10/23/61
The Stereos,I Really Love You,29,1961,10/23/61
The Flares,Foot Stompin'–Part 1,25,1961,10/30/61
Bobby Edwards,You're the Reason,11,1961,11/20/61
Kenny Dino,Your Ma Said You Cried in Your Sleep Last Night,24,1961,12/25/61
Phil McLean,Small Sad Sam,21,1962,1/20/62
Jimmy Elledge,Funny How Time Slips Away,22,1962,1/20/62
Barbara George,I Know (You Don't Love Me No More),3,1962,1/27/62
James Ray,If You Got to Make a Fool of Somebody,22,1962,1/27/62
Bruce Channel,Hey! Baby,1,1962,3/10/62
Kenny Ball and His Jazzmen,Midnight In Moscow,2,1962,3/17/62
The Sensations,Let Me In,4,1962,3/17/62
Don and Juan,What's Your Name,7,1962,3/17/62
Billy Joe and the Checkmates,Percolator (Twist),10,1962,3/17/62
Charlie Drake,My Boomerang Won't Come Back,21,1962,3/17/62
The Corsairs,Smoky Places,12,1962,3/17/62
Eddie Holland,Jamie,30,1962,3/24/62
Ketty Lester,Love Letters,5,1962,4/14/62
Larry Finnegan,Dear One,11,1962,4/21/62
Arthur Alexander,You Better Move On,24,1962,4/21/62
Bobby Gregg and His Friends,The Jam–Part 1,29,1962,4/21/62
Jack Ross,Cinderella,16,1962,4/28/62
Ernie Maresca,Shout! Shout! (Knock Yourself Out),6,1962,5/19/62
Mr. Acker Bilk,Stranger on the Shore,1,1962,5/26/62
Ronnie & the Hi-Lites,I Wish That We Were Married,16,1962,5/26/62
The Blue-Belles,I Sold My Heart to the Junkman,15,1962,6/2/62
Jimmy Smith,Walk on the Wild Side–Part 2,21,1962,6/23/62
Nathaniel Mayer and the Fabulous Twilights,Village of Love,22,1962,6/23/62
George Maharis,Teach Me Tonight,25,1962,6/23/62
Valjean,Theme from Ben Casey,28,1962,6/23/62
The Volume's,I Love You,22,1962,6/30/62
Emilio Pericoli,Al Di La,6,1962,7/7/62
Joe Henderson,Snap Your Fingers,8,1962,7/7/62
Claude King,Wolverton Mountain,6,1962,7/21/62
Joanie Sommers,Johnny Get Angry,7,1962,7/21/62
Don Gardner and Dee Dee Ford,I Need Your Loving,20,1962,7/28/62
Little Joey and the Flips,Bongo Stomp,33,1962,7/28/62
Barbara Lynn,You'll Lose a Good Thing,8,1962,8/11/62
Claudine Clark,Party Lights,5,1962,9/1/62
Bob Braun,Till Death Do Us Part,26,1962,9/1/62
The Springfields,Silver Threads and Golden Needles,20,1962,9/22/62
The Majors,A Wonderful Dream,22,1962,9/22/62
